Date_Time_Absolute_dmy_hmsf,Date_dmy,Time_Absolute_hms,Time_Absolute_f,Time_Relative_hmsf,Time_Relative_hms,Time_Relative_f,Time_Relative_sf,Duration_sf,Result_Container,Observation,Event_Log,Subject,Behavior,Modifier_1,Event_Type,Comment
26-08-2019 17:41:48.883,26-08-2019,17:41:48,883,00:01:20.956,00:01:20,956,80.9557,12.4707,Results,A1G1 (Paper),Event log,e3,Desengagement,Adult related,State start,
26-08-2019 17:42:01.354,26-08-2019,17:42:01,354,00:01:33.426,00:01:33,426,93.4264,0,Results,A1G1 (Paper),Event log,e3,Desengagement,Adult related,State stop,
26-08-2019 17:42:01.437,26-08-2019,17:42:01,437,00:01:33.510,00:01:33,510,93.5098,0.709036,Results,A1G1 (Paper),Event log,e1,Impatient behavior,Task(s) related,State start,
26-08-2019 17:42:02.146,26-08-2019,17:42:02,146,00:01:34.219,00:01:34,219,94.2188,0,Results,A1G1 (Paper),Event log,e1,Impatient behavior,Task(s) related,State stop,
26-08-2019 17:42:10.613,26-08-2019,17:42:10,613,00:01:42.686,00:01:42,686,102.686,21.0625,Results,A1G1 (Paper),Event log,e3,Desengagement,Adult related,State start,
26-08-2019 17:42:31.676,26-08-2019,17:42:31,676,00:02:03.748,00:02:03,748,123.748,0,Results,A1G1 (Paper),Event log,e3,Desengagement,Adult related,State stop,
26-08-2019 17:43:34.571,26-08-2019,17:43:34,571,00:03:06.644,00:03:06,644,186.644,1.66832,Results,A1G1 (Paper),Event log,e4,Impatient behavior,Task(s) related,State start,
26-08-2019 17:43:36.240,26-08-2019,17:43:35,240,00:03:08.312,00:03:08,312,188.312,0,Results,A1G1 (Paper),Event log,e4,Impatient behavior,Task(s) related,State stop,
26-08-2019 17:43:49.795,26-08-2019,17:43:49,795,00:03:21.867,00:03:21,867,201.867,22.3555,Results,A1G1 (Paper),Event log,e3,Desengagement,Adult related,State start,
26-08-2019 17:44:12.150,26-08-2019,17:44:11,150,00:03:44.223,00:03:44,223,224.223,0,Results,A1G1 (Paper),Event log,e3,Desengagement,Adult related,State stop,
26-08-2019 17:44:57.278,26-08-2019,17:44:56,278,00:04:29.351,00:04:29,351,269.351,21.9384,Results,A1G1 (Paper),Event log,e3,Desengagement,Other(s) related,State start,
26-08-2019 17:45:00.490,26-08-2019,17:45:00,490,00:04:32.562,00:04:32,562,272.562,2.6276,Results,A1G1 (Paper),Event log,e4,Desengagement,Other(s) related,State start,
26-08-2019 17:45:02.116,26-08-2019,17:45:02,116,00:04:34.189,00:04:34,189,274.189,3.04468,Results,A1G1 (Paper),Event log,e5,Desengagement,Other(s) related,State start,
26-08-2019 17:45:03.117,26-08-2019,17:45:03,117,00:04:35.190,00:04:35,190,275.19,0,Results,A1G1 (Paper),Event log,e4,Desengagement,Other(s) related,State stop,
26-08-2019 17:45:05.161,26-08-2019,17:45:04,161,00:04:37.234,00:04:37,234,277.234,0,Results,A1G1 (Paper),Event log,e5,Desengagement,Other(s) related,State stop,
26-08-2019 17:45:06.496,26-08-2019,17:45:05,496,00:04:38.568,00:04:38,568,278.568,2.75273,Results,A1G1 (Paper),Event log,e2,Desengagement,Other(s) related,State start,
26-08-2019 17:45:09.249,26-08-2019,17:45:09,249,00:04:41.321,00:04:41,321,281.321,0,Results,A1G1 (Paper),Event log,e2,Desengagement,Other(s) related,State stop,
26-08-2019 17:45:19.217,26-08-2019,17:45:18,217,00:04:51.289,00:04:51,289,291.289,0,Results,A1G1 (Paper),Event log,e3,Desengagement,Other(s) related,State stop,
26-08-2019 17:45:28.559,26-08-2019,17:45:27,559,00:05:00.632,00:05:00,632,300.632,8.46672,Results,A1G1 (Paper),Event log,e3,Desengagement,Adult related,State start,
26-08-2019 17:45:33.022,26-08-2019,17:45:33,22,00:05:05.094,00:05:05,94,305.094,7.00694,Results,A1G1 (Paper),Event log,e4,Desengagement,Other(s) related,State start,
26-08-2019 17:45:37.026,26-08-2019,17:45:37,26,00:05:09.098,00:05:09,98,309.098,0,Results,A1G1 (Paper),Event log,e3,Desengagement,Adult related,State stop,
26-08-2019 17:45:40.029,26-08-2019,17:45:40,29,00:05:12.101,00:05:12,101,312.101,0,Results,A1G1 (Paper),Event log,e4,Desengagement,Other(s) related,State stop,
26-08-2019 17:45:56.796,26-08-2019,17:45:55,796,00:05:28.868,00:05:28,868,328.868,37.5789,Results,A1G1 (Paper),Event log,e3,Desengagement,No idea,State start,
26-08-2019 17:46:34.375,26-08-2019,17:46:33,375,00:06:06.447,00:06:06,447,366.447,0,Results,A1G1 (Paper),Event log,e3,Desengagement,No idea,State stop,
26-08-2019 17:49:10.946,26-08-2019,17:49:09,946,00:08:43.019,00:08:43,19,523.019,2.21052,Results,A1G1 (Paper),Event log,e6,Impatient behavior,Task(s) related,State start,
26-08-2019 17:49:12.740,26-08-2019,17:49:12,740,00:08:44.812,00:08:44,812,524.812,45.2949,Results,A1G1 (Paper),Event log,e3,Desengagement,Adult related,State start,
26-08-2019 17:49:13.157,26-08-2019,17:49:13,157,00:08:45.229,00:08:45,229,525.229,0,Results,A1G1 (Paper),Event log,e6,Impatient behavior,Task(s) related,State stop,
26-08-2019 17:49:15.242,26-08-2019,17:49:15,242,00:08:47.315,00:08:47,315,527.315,26.1926,Results,A1G1 (Paper),Event log,e2,Desengagement,Other(s) related,State start,
26-08-2019 17:49:15.409,26-08-2019,17:49:15,409,00:08:47.482,00:08:47,482,527.482,1.25124,Results,A1G1 (Paper),Event log,e4,Impatient behavior,Task(s) related,State start,
26-08-2019 17:49:16.660,26-08-2019,17:49:15,660,00:08:48.733,00:08:48,733,528.733,0,Results,A1G1 (Paper),Event log,e4,Impatient behavior,Task(s) related,State stop,
26-08-2019 17:49:21.999,26-08-2019,17:49:21,999,00:08:54.071,00:08:54,71,534.071,41.1241,Results,A1G1 (Paper),Event log,e4,Desengagement,Other(s) related,State start,
26-08-2019 17:49:41.435,26-08-2019,17:49:41,435,00:09:13.507,00:09:13,507,553.507,0,Results,A1G1 (Paper),Event log,e2,Desengagement,Other(s) related,State stop,
26-08-2019 17:49:58.035,26-08-2019,17:49:58,35,00:09:30.107,00:09:30,107,570.107,0,Results,A1G1 (Paper),Event log,e3,Desengagement,Adult related,State stop,
26-08-2019 17:50:03.123,26-08-2019,17:50:03,123,00:09:35.195,00:09:35,195,575.195,0,Results,A1G1 (Paper),Event log,e4,Desengagement,Other(s) related,State stop,
26-08-2019 17:50:03.123,26-08-2019,17:50:03,123,00:09:35.195,00:09:35,195,575.195,1.25124,Results,A1G1 (Paper),Event log,e4,Impatient behavior,Task(s) related,State start,
26-08-2019 17:50:04.374,26-08-2019,17:50:04,374,00:09:36.447,00:09:36,447,576.447,0,Results,A1G1 (Paper),Event log,e4,Impatient behavior,Task(s) related,State stop,
26-08-2019 17:50:34.070,26-08-2019,17:50:34,70,00:10:06.143,00:10:06,143,606.143,8.92551,Results,A1G1 (Paper),Event log,e5,Desengagement,Other(s) related,State start,
26-08-2019 17:50:42.996,26-08-2019,17:50:42,996,00:10:15.068,00:10:15,68,615.068,0,Results,A1G1 (Paper),Event log,e5,Desengagement,Other(s) related,State stop,
26-08-2019 17:50:47.208,26-08-2019,17:50:46,208,00:10:19.281,00:10:19,281,619.281,23.1896,Results,A1G1 (Paper),Event log,e3,Desengagement,Adult related,State start,
26-08-2019 17:50:52.130,26-08-2019,17:50:52,130,00:10:24.202,00:10:24,202,624.202,14.0556,Results,A1G1 (Paper),Event log,e4,Desengagement,Adult related,State start,
